"com","lib_com","dep","reg","business_crea","nb_crimes","nb_households","pop","income","com_type","party","tax_rate","motorway","iqr_income","nb_businesses","crime_rate"
"93050","Neuilly-sur-Marne","93",11,0.168269231915474,119,14797.663979546,34968,2,"B","Left",0.267800003290176,1,16530,1664,0.00804180985353412
"93051","Noisy-le-Grand","93",11,0.181421086192131,191,29837.421193765,66683,3,"B","Left",0.336699992418289,1,18818,3434,0.00640135750203213
"93053","Noisy-le-Sec","93",11,0.186725661158562,185,17755.8829613601,43557,2,"B","Right",0.386699974536896,1,15832,2260,0.0104190819686406
"93055","Pantin","93",11,0.183075815439224,248,26554.0471227864,55469,2,"B","Left",0.386699974536896,1,17156,5566,0.00933944264138884
"93057","Les Pavillons-sous-Bois","93",11,0.173349052667618,186,10268.5326642841,23504,3,"B","Right",0.333499997854233,1,17852,1696,0.0181135909171272
"93059","Pierrefitte-sur-Seine","93",11,0.205302521586418,237,10950.4547007427,29785,2,"B","Left",0.35139998793602,1,12930,1471,0.0216429368895454
"93061","Le Pré-Saint-Gervais","93",11,0.186482086777687,100,8919.9048943266,17779,2,"B","Left",0.386699974536896,1,18380,1228,0.0112108818630571
"93062","Le Raincy","93",11,0.14172089099884,60,7301.46130326474,14733,5,"B","Right",0.305999994277954,1,25320,1383,0.00821753310849869
"93063","Romainville","93",11,0.15536892414093,164,11821.8821605561,26173,2,"B","Left",0.386699974536896,1,17146,1667,0.0138725794905306
"93064","Rosny-sous-Bois","93",11,0.184778019785881,181,20598.4734251341,45003,3,"B","Right",0.364600002765656,1,18070,2365,0.0087870589370543
"93066","Saint-Denis","93",11,0.173901706933975,512,47793.9160571708,112113,2,"B","Left",0.35139998793602,1,13940,7671,0.01071266056934
"93070","Saint-Ouen","93",11,0.145088374614716,248,26333.1536785784,48763,2,"B","Right",0.35139998793602,1,17884,4866,0.00941778577025296
"93071","Sevran","93",11,0.175979107618332,215,17906.6465571078,50753,2,"B","Left",0.301899999380112,1,14038,1915,0.0120067148985335
"93072","Stains","93",11,0.155836686491966,181,14564.8999445432,39722,2,"B","Left",0.35139998793602,1,13122,1739,0.0124271365192462
"93073","Tremblay-en-France","93",11,0.155671566724777,184,13977.4250607924,35581,2,"B","Left",0.301899999380112,1,15804,2107,0.013164084171421
"93077","Villemomble","93",11,0.179344460368156,113,13190.9034315812,30046,3,"B","Right",0.297099977731705,1,20896,1617,0.00856650953333942
"93078","Villepinte","93",11,0.165916755795479,157,12624.8855212063,36691,2,"B","Right",0.301899999380112,1,14646,1778,0.0124357563271591
"93079","Villetaneuse","93",11,0.216386556625366,42,4805.51172744836,12761,2,"B","Left",0.35139998793602,1,11448,476,0.00873996410415613
"94002","Alfortville","94",11,0.182545453310013,236,22076.0556084159,44634,2,"B","Left",0.35249999165535,1,19796,2750,0.010690315524936
"94003","Arcueil","94",11,0.152292147278786,129,10725.831168654,21669,3,"B","Left",0.321899980306625,1,19848,1287,0.0120270399535096
"94004","Boissy-Saint-Léger","94",11,0.152777776122093,67,6761.50232216159,16075,2,"B","Left",0.275099992752075,1,17026,936,0.00990904044806728
"94011","Bonneuil-sur-Marne","94",11,0.174224346876144,35,7155.00939423772,17250,2,"B","Left",0.364900022745132,1,14762,838,0.00489167771438389
"94015","Bry-sur-Marne","94",11,0.14995314180851,92,7405.52896797011,16774,6,"B","Right",0.26690000295639,1,23524,1067,0.0124231503783068
"94016","Cachan","94",11,0.193786978721619,156,14387.8668159743,30740,4,"B","Left",0.321899980306625,1,22502,1352,0.0108424690049813
"94017","Champigny-sur-Marne","94",11,0.169242084026337,276,32378.4759610495,77006,2,"B","Left",0.400600016117096,1,18196,4077,0.00852418132132041
"94018","Charenton-le-Pont","94",11,0.147033527493477,133,15649.5834105521,31050,5,"B","Right",0.250800013542175,1,25270,2326,0.00849862878204934
"94019","Chennevières-sur-Marne","94",11,0.108243130147457,41,8122.13576884279,18365,3,"B","Right",0.275099992752075,1,18906,1201,0.00504793334744286
"94021","Chevilly-Larue","94",11,0.115471698343754,71,8366.17306524564,19269,3,"B","Left",0.284500002861023,1,18010,1325,0.00848655645135347
"94022","Choisy-le-Roi","94",11,0.156518012285233,187,20517.6422831909,44198,2,"B","Left",0.348100006580353,1,17546,2332,0.00911410762596246
"94028","Créteil","94",11,0.187710255384445,165,38808.6914610989,91451,2,"B","Left",0.35249999165535,1,17796,4459,0.0042516249269933
"94033","Fontenay-sous-Bois","94",11,0.167190626263618,237,23720.5576428356,54249,4,"B","Left",0.324099987745285,1,23048,3499,0.00999133340659813
"94034","Fresnes","94",11,0.194291993975639,75,11368.1765839885,27323,4,"B","Left",0.321899980306625,1,17906,911,0.00659736409316809
"94037","Gentilly","94",11,0.192558139562607,104,9336.51315296964,17083,2,"B","Left",0.321899980306625,1,19188,1075,0.0111390621205221
"94038","L' Haÿ-les-Roses","94",11,0.178797468543053,87,13836.1522578922,30964,4,"B","Right",0.321899980306625,1,21860,1264,0.00628787529787227
"94041","Ivry-sur-Seine","94",11,0.171162337064743,232,30872.9581702691,59915,2,"B","Left",0.348100006580353,1,18188,4078,0.00751466700147373
"94042","Joinville-le-Pont","94",11,0.167883217334747,81,9282.77361770608,19002,4,"B","Right",0.328300029039383,1,24117,1233,0.00872584028608643
"94043","Le Kremlin-Bicêtre","94",11,0.18771331012249,122,12706.9992264566,25798,4,"B","Left",0.321899980306625,1,20024,1465,0.00960100790326562
"94044","Limeil-Brévannes","94",11,0.233407080173492,149,10957.5365177204,25848,3,"B","Right",0.35249999165535,1,16206,904,0.0135979469253001
"94046","Maisons-Alfort","94",11,0.158641070127487,225,28132.3168181723,55445,4,"B","Right",0.255499988794327,1,19342,3385,0.00799791931301795
"94052","Nogent-sur-Marne","94",11,0.178327649831772,160,16643.8367299141,31825,6,"B","Right",0.300200015306473,1,28218,2344,0.00961316808115708
"94054","Orly","94",11,0.158953726291656,94,9601.0330214567,23515,2,"B","Left",0.295400023460388,1,14960,994,0.00979061313401649
"94058","Le Perreux-sur-Marne","94",11,0.176684886217117,137,16508.0057252777,34264,6,"B","Right",0.300200015306473,1,24300,2196,0.00829900366403558
"94059","Le Plessis-Trévise","94",11,0.142988935112953,84,8405.15182888124,20231,4,"B","Right",0.275099992752075,1,18662,1084,0.00999387062960179
"94060","La Queue-en-Brie","94",11,0.168582379817963,44,4424.11525136912,12054,4,"B","Right",0.275099992752075,1,16672,522,0.00994549135816103
"94067","Saint-Mandé","94",11,0.178672716021538,64,11706.3564983562,22665,6,"B","Right",0.354699999094009,1,33522,1763,0.0054671152385447
"94068","Saint-Maur-des-Fossés","94",11,0.133019864559174,266,37379.0507364303,76076,6,"B","Right",0.280599981546402,1,26253,6593,0.007116285586695
"94069","Saint-Maurice","94",11,0.168234065175056,55,7153.59563101467,14662,5,"B","Right",0.250800013542175,1,24086,957,0.00768844128700056
"94073","Thiais","94",11,0.166221633553505,100,13162.6516081299,29254,4,"B","Right",0.247999995946884,1,19536,1498,0.00759725342409238
"94074","Valenton","94",11,0.195652171969414,49,5410.93870754798,14544,2,"B","Left",0.325499981641769,1,13368,598,0.00905573000330747
